Parameter,Method,group,mid,mean_ddg,sd_ddg
expr_avg_all,Simba_SYM,group_1,0.75,-0.8722222222222222,1.2016656859856742
expr_avg_all,Simba_SYM,group_2,-4.125,2.075,NA
expr_avg_all,Simba_SYM,group_2,-3.375,-2.39375,1.5467960838455725
expr_avg_all,Simba_SYM,group_2,-3.125,-1.1142857142857143,1.5958703733941704
expr_avg_all,Simba_SYM,group_2,-2.875,-0.5088315217391305,2.0149667822053705
expr_avg_all,Simba_SYM,group_2,-2.625,-0.13687214611872148,1.778869920774114
expr_avg_all,Simba_SYM,group_2,-2.375,-0.3464454816017316,1.9514004293132354
expr_avg_all,Simba_SYM,group_2,-2.125,-0.37955426356589145,1.994123679990618
expr_avg_all,Simba_SYM,group_2,-1.875,-0.31251241600934854,1.700737087966154
expr_avg_all,Simba_SYM,group_2,-1.625,0.2530369290573372,1.4715835736381806
expr_avg_all,Simba_SYM,group_2,-1.375,-0.17626235399820306,1.4752535401765865
expr_avg_all,Simba_SYM,group_2,-1.125,0.05952380952380952,1.4311192724442394
expr_avg_all,Simba_SYM,group_2,-0.875,-0.1335919540229885,1.2966732143970265
expr_avg_all,Simba_SYM,group_2,-0.625,0.10268321513002364,1.150201642664154
expr_avg_all,Simba_SYM,group_2,-0.375,0.10969743069641649,1.019125009730613
expr_avg_all,Simba_SYM,group_2,-0.125,0.06196666666666667,0.7483990523622862
expr_avg_all,Simba_SYM,group_2,0.125,-0.0962256728778468,0.8746609875199173
expr_avg_all,Simba_SYM,group_2,0.375,-0.36445193171608264,1.030842434047659
expr_avg_all,Simba_SYM,group_2,0.625,-0.8722222222222222,1.2016656859856742
